id_iklan,judul,deskripsi,merek,model,tahun,transmisi,jarak_tempuh,harga
947959349,[ GARANSI 5TH ] Hyundai Santafe Santa Fe 2.5 Prime Bensin 2023/2024/20,"BELI MOBIL TANPA KHAWATIR BERGARANSI 5 TAHUN!

Hyundai Santafe Santa Fe 2.5 Prime Panoramic Bensin AT Hitam NIK 2023, PAJAK BULAN 9 (2027), ODOMETER 37RB KM RECORD AUTHORIZED
-
Focus Motor Belanja Mobil 26 Tahun Membangun Kepercayaan.
Nikmati standar baru kepemilikan mobil bekas dengan garansi komprehensif hingga 5 TAHUN untuk 155 KOMPONEN. BERSERTIFIKAT, BERPOLIS, dan didukung layanan CUSTOMER SERVICE PERSONAL untuk pengalaman berkendara yang aman dan tanpa khawatir.

Belanja Mobil bukan hanya menjual mobil bekas. Kami jual mobil bekas dengan RASA AMAN seperti mobil baru.

5 BELANJA MOBIL PROMISE :
1. Mobil Terinspeksi 155 titik
2. ⁠TERGARANSI 5 tahun
3. ⁠Harga Transparan
4. ⁠Jaminan Trade-in/Buyback
5. ⁠After Sales yg baik (Mempunyai Customer Service Personal)

-UNIT 100% BEBAS TABRAK DAN BEBAS BANJIR (garansi uang kembali)
-Dokumen ABSAH
-BONUS! Free Detailing (pembersihan) 2x (1 tahun)
-
OTR KREDIT 354JT 
OTR CASH by call / wa

DP Minim
Dp 58jt
Angs 10.674.000 x47 tlo

Dp 51jt
Angs 9.412.500 x59 tlo

Bunga Premium
Dp 68jt
Angs 9.977.000 x47 tlo

Dp 62jt
Angs 8.745.000 x59 tlo

UNTUK REQUEST DP / HITUNGAN LAIN, SILAKAN HUBUNGI KAMI

Harga kredit tertera adalah harga minimal kredit dengan tenor 4 & 5 tahun, diluar itu mengikuti harga Cash (karena kami mensubsidi refund bunga kepada anda)
-
Spesifikasi :
* Tangan Pertama Dari Baru, Pribadi
* Electric Panoramic Sunroof
* Engine 2.5 Bensin Auto ECO Mode
* Keyless Start Stop Engine
* Audio Steering Switch, Paddle Shift With Cruise Control
* AC Digital Dual Zone With Blower
* MID Digital Cluster
* Infotainment System Integrated Android Auto With Command Control
* Electric Leather Seat
* Full LED Headlamp With DRL
* LED Stop Lamp
* SRS Airbags, ABS, EBD, BA, COMPLETE SAFETY CAR
* Rear Parking Camera, Parking Sensor, Electric Park Brake, Traction Control

LOKASI : Bursa Otomotif Mangga Dua Square, Focus Motor, Jakarta Utara. (TJA) (B)",Hyundai,Lainnya,,Lainnya,35.000-40.000,354000000.0
947996986,Honda Mobilio 1.5 RS Bensin-AT 2018,"""Honda Mobilio 1.5 RS Bensin-AT 2018
.
Harga Credit : Rp168,000,000
Harga Cash : Rp177,000,000
.
Mau Setting TDP atau Angsuran? Langsung Chat Aja.
.
FREE ASURANSI TLO UNTUK PEMBELIAN CASH
.
- Nikmati Promo di OLXmobbi - Jual - Beli - Tukar Tambah
- 1000+ Pilihan Unit (Cari Unit Tertentu? Chat Saja)
- Beli mobil dan dapatkan bonus saldo digital hingga Rp1.500.000
- Dapatkan Promo Voucher Service
- Tambahan Asuransi TLO Untuk Pembelian Cash
*S&K berlaku
.
Spesifikasi Unit : 
1. Pajak Des 2026
2. Odometer 129rb+ Km
3. Plat : Ganjil
4. Surat-surat Jaminan Asli dan Sesuai
5. Garansi 1 Tahun (S&K Berlaku)
.
Keunggulan Model :
• cocok buat Mobilisasi dalam dan Luar kota dengan konsumsi BBM sd 12-15 KM/L
• Car of the Year – Indonesia Car of the Year (ICOTY 2015)
• Best Value for Money – Car of the Year 2015
• Jaringan bengkel luas ada dimana-mana
• Nilai jual kembali tinggi dan stabil di pasar mobil bekas Indonesia, khususnya Jabodetabek
• Suku cadang original dan aftermarket mudah didapatkan di bengkel resmi maupun umum dengan harga terjangkau
• Cocok untuk berbagai kebutuhan: keluarga, komuter harian di Jakarta, perjalanan luar kota, atau adventure ringan
• Kabin lega dan fleksibel, sangat ideal untuk keluarga besar atau angkutan penumpang
.
Mengapa Anda harus membeli mobil di OLXmobbi?
- Gratis Garansi hingga 1 tahun
- Voucher Biaya Jasa Perawatan
- FREE HOME TEST DRIVE
*S&K Berlaku
.
Pembayaran Booking Fee / Pelunasan hanya melalui no rekening 2061/888/995 - BCA - an SERASI MITRA MOBIL PT
.
Kunjungi kami di
OLXmobbi Buaran
Jl. Radin Inten II No.1, RT.8/RW.14, Klender, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 1613853
.
Isnaini Indrayana - Sales Advisor
OLXmobbi Buaran
Ahlinya Mobil Bekas Kualitas""",Honda,Lainnya,,Lainnya,125.000-130.000,168000000.0
947869287,[ KM LOW ] Volkswagen VW Tiguan Allspace 1.4 TSI AT Hitam 2019/2020,"BELI MOBIL TANPA KHAWATIR BERGARANSI 5 TAHUN!

Volkswagen VW Tiguan Allspace 1.4 TSI AT Hitam NIK 2019, PAJAK BULAN 11 (2026), ODOEMETER 60RB KM RECORD AUTHORIZED
-
Focus Motor Belanja Mobil 26 Tahun Membangun Kepercayaan.
Nikmati standar baru kepemilikan mobil bekas dengan garansi komprehensif hingga 5 TAHUN untuk 155 KOMPONEN. BERSERTIFIKAT, BERPOLIS, dan didukung layanan CUSTOMER SERVICE PERSONAL untuk pengalaman berkendara yang aman dan tanpa khawatir.

Belanja Mobil bukan hanya menjual mobil bekas. Kami jual mobil bekas dengan RASA AMAN seperti mobil baru.

5 BELANJA MOBIL PROMISE :
1. Mobil Terinspeksi 155 titik
2. ⁠TERGARANSI 5 tahun
3. ⁠Harga Transparan
4. ⁠Jaminan Trade-in/Buyback
5. ⁠After Sales yg baik (Mempunyai Customer Service Personal)

-UNIT 100% BEBAS TABRAK DAN BEBAS BANJIR (garansi uang kembali)
-Dokumen ABSAH
-BONUS! Free Detailing (pembersihan) 2x (1 tahun)
-
OTR KREDIT 219JT
OTR CASH BY CALL

Bunga Premium
Dp 67jt
Angs 7.047.000 x47 tlo

Dp 64jt
Angs 6.115.500 x59 tlo

UNTUK REQUEST DP / HITUNGAN LAIN, SILAKAN HUBUNGI KAMI

Harga kredit tertera adalah harga minimal kredit dengan tenor 4 & 5 tahun, diluar itu mengikuti harga Cash (karena kami mensubsidi refund bunga kepada anda)
-
Spesifikasi :
* Tangan Pertama Dari Baru, Pribadi
* Engine 1.4L 150 Hp (250 Nm) TSI Turbo
* Paddle Shift, Cruise Control
* AC Digital Dual Zone
* MID Digital Cluster
* Headunit Infotainment LCD Touchscreen Navigasi, Radio, Bluetooth, Multimedia
* Electric Leather Seat With Memory Seat, Lumbar Support
* LED Matrix Headlamp, Foglamp LED
* LED Tail Light
* SRS Airbags, BA, ABS, EBD, HSA, VSC, COMPLETE SAFETY CAR
* 360 View Parking Camera, Parking Sensor, Traction Control
* Power Back Door
* Kaca Film Vkool
* Buku Service, Buku Manual, Kunci Cadangan Tersedia

LOKASI : Bursa Otomotif Mangga Dua Square, Focus Motor, Jakarta Utara. (UJU) (B)",Volkswagen,Lainnya,,Lainnya,60.000-65.000,219000000.0
948106454,KM Rendah - Daihatsu Gran max 1.3 Blind Van Bensin-MT 2025,"""KM Rendah - Daihatsu Gran max 1.3 Blind Van Bensin-MT 2025
.
Harga Credit : Rp150,000,000
Harga Cash : Rp158,000,000
.
Mau Setting TDP atau Angsuran? Langsung Chat Aja.
.
FREE ASURANSI TLO UNTUK PEMBELIAN CASH
.
- Nikmati Promo di OLXmobbi - Jual - Beli - Tukar Tambah
- 1000+ Pilihan Unit (Cari Unit Tertentu? Chat Saja)
- Beli mobil dan dapatkan bonus saldo digital hingga Rp1.500.000
- Dapatkan Promo Voucher Service
- Tambahan Asuransi TLO Untuk Pembelian Cash
*S&K berlaku
.
Spesifikasi Unit : 
1. Pajak Okt 2026
2. Odometer rb+ Km
3. Plat : Genap
4. Surat-surat Jaminan Asli dan Sesuai
5. Garansi 1 Tahun (S&K Berlaku)
.
Keunggulan Model :
• Mobil Multi Fungsi Favorit Indonesia 2024
• Cocok bagi anda yg berjiwa pengusaha
• Jaringan bengkel luas ada dimana-mana
• Nilai jual kembali tinggi dan stabil di pasar mobil bekas Indonesia, khususnya Jabodetabek
• Suku cadang original dan aftermarket mudah didapatkan di bengkel resmi maupun umum dengan harga terjangkau
• Cocok untuk berbagai kebutuhan: keluarga, komuter harian di Jakarta, perjalanan luar kota, atau adventure ringan
.
Mengapa Anda harus membeli mobil di OLXmobbi?
- Gratis Garansi hingga 1 tahun
- Voucher Biaya Jasa Perawatan
- FREE HOME TEST DRIVE
*S&K Berlaku
.
Pembayaran Booking Fee / Pelunasan hanya melalui no rekening 2061/888/995 - BCA - an SERASI MITRA MOBIL PT
.
Kunjungi kami di
OLXmobbi Buaran
Jl. Radin Inten II No.1, RT.8/RW.14, Klender, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 1611400
.
Teguh Arif Margo Santoso - Sales Advisor
OLXmobbi Buaran
Ahlinya Mobil Bekas Kualitas""",Daihatsu,Lainnya,,Lainnya,0-5.000,150000000.0
941771578,4x4 LANGKA RARE Outlander 4x4 Spesial Edition 2007 CBU 4WD 2400cc,"- Mitsubishi Outlander SE 2007 4x4 2400cc
- Pajak Panjang 16/11/2026
- STNK a/n sendiri 16/11/2030
- Pemakai, bukan showroom
- Rare jarang ada, CBU build up Japan
- NIK 2007 
- Plat Ganjil Jakarta
- Warna Black metalic
- Mesin 2.4L Mivec = Outlander PHEV 2019-'24
- Mesin halus terawat (GT Auto Bekasi)
- Paddle Shift Steering spt Pajero Sport Dakar
- Transmisi Triptonic spt Pajero Sport Dakar
- Electric Sunroof spt Pajero Sport Dakar
- Peremajaan spare part (GT Auto Bekasi) Kaki², engine mounting, shock, belt, selang, filter dll. 
- Lulus uji emisi 
- 4x4 Normal 2H, 4H, 4L
- Body seger, mulus, terawat
- Sudah Cat body full 
- Sudah Coating full body + kaca by Gorillaz 
- Jok 3 baris
- Original Rockford Audio system
- AC dingin
- Accu Baru GS Premium 
- Velg Racing R16 OEM ex Renault Duster
- Ban 215/65 R16 2021 Dunlop ST20
- BPKB, STNK, Faktur lengkap.
- Tidak bekas banjir/tabrak.",Mitsubishi,Lainnya,,Lainnya,165.000-170.000,167000000.0
947937655,Bunga 0% DP50% LowOdo 19rb Alphard 2.5 G NEW MODEL 2024 2023 VELLFIRE,"Paket Smart Cashflow. Bunga 0% DP 50%. Sisa Flat 12x
Instant Approval Test Drive Hari ini Besok Delivery
Garansi Otospector sd 2027. Siap Gencheck

Please welcome
*TOYOTA ALPHARD 2.5 G NEW MODEL*

*NIK 2023*
Sparkling Black Pearl
Engine 2.500 CC
ODO 19.XXX KM 
Tax Januari

*Additional Information:*
- GPS Indonesia
- Touch Screen LCD Monitor Display
- Rear Seat Netertainment System (Roof Monitor)
- Dual Electric Sliding Door
- Electric & Memory Seat
- Heated & Ventilated Seat
- Rear Panoramic Roof
- Digital Instrument Panel
- JBL Audio System
- 360 All View Camera
- Power Backdoor

*Harga Kredit 1.115 M*
*Harga Cash 1.175 M*

PROMO
Paket Smart Cashflow
Bunga 0% Murni
Cukup Tdp 50%
Sisanya Flat Prorate 12x
Tenor Fixed 1 Tahun
Bebas Admin, Fiducia & Provisi

Untuk janjian test drive/kirim orang untuk inspeksi
Contact : Steve 0878/1112/2010

*GARANSI Uang Kembali 1000%*
Lulus inspeksi @otospector
Bebas Banjir & Bebas Major Accident
Record mobil sesuai odometer
Dokumen mobil asli keabsahannya

Cek variasi stok unit di Instagram 
@chrisauto_garage
@chrisauto_official

Chris Auto Garage | CAG
Bursa Otomotif Sunter 
Blok D2-D3 | Blok C1A- 1B
(Masuk Pintu 5 Lurus Paling Ujung) 
Jl. Yos Sudarso Kav 87-88
Jakarta Utara
(Search Google Map -> Ketik Chris Auto Garage) 

Operational Hour
(Minggu / Tanggal Merah TETAP BUKA)
Senin - Sabtu 08.00-17.30
Minggu 10.00-16.00
Diluar jam operasional tetap kami layani by appointment",Toyota,Lainnya,,Lainnya,15.000-20.000,1115000000.0
948148754,KM Rendah - Toyota Vios 1.5 G Bensin-AT 2021,"""KM Rendah - Toyota Vios 1.5 G Bensin-AT 2021
.
Harga Credit : Rp157,000,000
Harga Cash : Rp165,000,000
.
Mau Setting TDP atau Angsuran? Langsung Chat Aja.
.

.
- Nikmati Promo di OLXmobbi - Jual - Beli - Tukar Tambah
- 1000+ Pilihan Unit (Cari Unit Tertentu? Chat Saja)
- Beli mobil dan dapatkan bonus saldo digital hingga Rp1.500.000
- Dapatkan Promo Voucher Service
- Tambahan Asuransi TLO Untuk Pembelian Cash
*S&K berlaku
.
Spesifikasi Unit : 
1. Pajak Agu 2026
2. Odometer 44rb+ Km
3. Plat : Ganjil
4. Surat-surat Jaminan Asli dan Sesuai
5. Garansi 1 Tahun (S&K Berlaku)
.
Keunggulan Model :
• Car of the Year - Warta Ekonomi (2015), Mobil Sedan dengan Pajak Terjangkau
• Mesin 2NR-FE teruji dan sangat Durable
• Jaringan bengkel luas ada dimana-mana
• Nilai jual kembali tinggi dan stabil di pasar mobil bekas Indonesia, khususnya Jabodetabek
• Suku cadang original dan aftermarket mudah didapatkan di bengkel resmi maupun umum dengan harga terjangkau
• Cocok untuk berbagai kebutuhan: keluarga, komuter harian di Jakarta, perjalanan luar kota, atau adventure ringan
.
Mengapa Anda harus membeli mobil di OLXmobbi?
- Gratis Garansi hingga 1 tahun
- Voucher Biaya Jasa Perawatan
- FREE HOME TEST DRIVE
*S&K Berlaku
.
Pembayaran Booking Fee / Pelunasan hanya melalui no rekening 2061/888/995 - BCA - an SERASI MITRA MOBIL PT
.
Kunjungi kami di
OLXmobbi Buaran
Jl. Radin Inten II No.1, RT.8/RW.14, Klender, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 1594903
.
Gilang Prasetyo Manoppo - Sales Advisor
OLXmobbi Buaran
Ahlinya Mobil Bekas Kualitas""",Toyota,Lainnya,,Lainnya,40.000-45.000,157000000.0
944199433,DP10% [Km11.000] C300 AMG 2018 White Reg 2019 #AUTOHIGH,"MERCEDES BENZ C300 AMG 2018 WHITE ON BLACK
Km.11.000 Antik!! , Stnk Bulan 05 ( NIK.2018 ) 
- Monitor + Rear Camera
- Full Electric Seat + Memory Seat
- Electric Tilt Steering
- Audio Burmester
- Engine Start Button
- Panoramic + Sunroof 
- Mouse Control Pad
- HUD ( Head Unit Display ) 
- Bagasi PBD ( Power Back Doors ) 
- Full AMG Package ( Velg + Body Kit ) 
- GPS Indonesia
- Service Record ATPM Mercedes Benz 

OTR KREDIT : 480JT
OTR CASH : 530JT 

Harga Negosiasi Setelah Datang Lihat Unit di Showroom Kami

Pembelian via cash / kredit.. Data luar kota bisa bantu proses, Tersedia jg Paket Total DP Ringan, Tenor hingga 6 tahun ( Proses 1 hari kerja saja )

Segera Rekomendasikan Keluarga / Teman / Kerabat Bapak & Ibu semua untuk membeli Mobil di AUTOHIGH dan dapatkan harga & kualitas terbaik dengan cara Share Link Iklan ini, Terima Kasih !!!

///AUTO HIGH BINTARO
** Bursa Mobil Bintaro A1 - A3
Bintaro Sektor 7, Tangerang Selatan
( Exit Tol Pondok Aren, samping Bank Permata Tower dan Dealer BMW Bestindo )

[[ GUNAKAN SELALU FITUR TELEPON & WHATS APP UNTUK KEAMANAN BERKOMUNIKASI, TERIMA KASIH ]]

Buka Setiap Hari : Pukul 9 Pagi s/d 6 Sore
( Sabtu / Minggu / Hari Libur Tetap Buka )

More Info, Please Call / SMS / Whats App : Pukul 8 Pagi s/d 11 Malam ( Setiap Hari )",Mercedes-Benz,Lainnya,,Lainnya,5.000-10.000,480000000.0
948143514,Honda Brio 1.2 RS Bensin-AT 2020,"""Honda Brio 1.2 RS Bensin-AT 2020
.
Harga Credit : Rp162,000,000
Harga Cash : Rp170,000,000
.
Mau Setting TDP atau Angsuran? Langsung Chat Aja.
.
FREE ASURANSI TLO UNTUK PEMBELIAN CASH
.
- Nikmati Promo di OLXmobbi - Jual - Beli - Tukar Tambah
- 1000+ Pilihan Unit (Cari Unit Tertentu? Chat Saja)
- Beli mobil dan dapatkan bonus saldo digital hingga Rp1.500.000
- Dapatkan Promo Voucher Service
- Tambahan Asuransi TLO Untuk Pembelian Cash
*S&K berlaku
.
Spesifikasi Unit : 
1. Pajak Jun 2026
2. Odometer 71rb+ Km
3. Plat : Genap
4. Surat-surat Jaminan Asli dan Sesuai
5. Garansi 1 Tahun (S&K Berlaku)
.
Keunggulan Model :
• Cocok buat kendaraan dalam kota dengan konsumsi BBM sd 13-16 KM/L
• Car of the Year – Indonesia Car of the Year (ICOTY 2014-2015)
• Best City Car for Young Generation – Car of the Year 2018
• Jaringan bengkel luas ada dimana-mana
• Nilai jual kembali tinggi dan stabil di pasar mobil bekas Indonesia, khususnya Jabodetabek
• Suku cadang original dan aftermarket mudah didapatkan di bengkel resmi maupun umum dengan harga terjangkau
• Cocok untuk berbagai kebutuhan: keluarga, komuter harian di Jakarta, perjalanan luar kota, atau adventure ringan
• Biaya operasional rendah dan sangat cocok untuk daily commute di Jakarta serta kota besar lainnya
.
Mengapa Anda harus membeli mobil di OLXmobbi?
- Gratis Garansi hingga 1 tahun
- Voucher Biaya Jasa Perawatan
- FREE HOME TEST DRIVE
*S&K Berlaku
.
Pembayaran Booking Fee / Pelunasan hanya melalui no rekening 2061/888/995 - BCA - an SERASI MITRA MOBIL PT
.
Kunjungi kami di
OLXmobbi Buaran
Jl. Radin Inten II No.1, RT.8/RW.14, Klender, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 1580907
.
Risma Nur Fairy - Sales Advisor
OLXmobbi Buaran
Ahlinya Mobil Bekas Kualitas""",Honda,Lainnya,,Lainnya,65.000-70.000,162000000.0
948214451,Bunga 5% PAJAK 2027 Km 60k GANJIL Alphard G atpm 2018 Alphard g 2018,"KHUSUS yang ingin barang BAGUS
KHUSUS yang ingin bunga MURAH dan BISA BERHITUNG
KHUSUS untuk orang yang tidak terpukau dengan HARGA MURAH tapi Angsuran lebih MAHAL daripada HITUNGAN KAMI.
.
Lulus Inspeksi Dan Sertifikasi OTOSPECTOR, Mobil bebas Tabrakan dan Banjir.
MOBIL BERGARANSI MESIN DAN TRANSMISI SELAMA 2 TAHUN
.
Harga khusus Tunai Rp 560,000,000 
Harga khusus kredit Rp 515,000,000 
*
Paket kredit dp mumer dan bunga murah
.
. Total pembayaran pertama Rp 125,000,000  
Angsuran 23 bulan rp 22,200,000 BUNGA HANYA 5%
.
Total pembayaran pertama Rp 115,000,000  
Angsuran 35 bulan rp 15,700,000 BUNGA HANYA 5%
.
Total pembayaran pertama rp 110,000,000  
Angsuran 47 bulan rp 12,500,000 BUNGA HANYA 5.25%
.
Total pembayaran pertama rp 107,000,000  
Angsuran 59 bulan rp 10,800,000 BUNGA HANYA 6%

TDP sudah termasuk :
* Down Payment
* angsuran 1
* administrasi
- Asuransi 1 Tahun ALL RISK 
* asuransi tahun selanjutnya TLO ( Total Lost Only )
* PROVISI HANYA 1%
*
Yuk mari berhitung, kenapa harus beli mobil di PASKAH Mobil, karena kami MENGEMBALIKAN CASH BACK semua yang di berikan leasing KEPADA ANDA, terima kasih
.	 
Harga tersebut masih bisa di Negosiasi Hanya Setelah Datang Lihat Unit di Showroom Kami..
*
Keterangan Unit Kendaraan : 
.
Toyota ALphard 2.5 G ATPM Facelift
Faktur 2018
Tahun Pembuatan NIK 2018
STNK, BPKB, FAKTUR MASIH TANGAN PERTAMA DARI BARU 
ATAS NAMA PERUSAHAAN 
.
* KM 60K Service record Toyota 
. 
* Pajak terbayar 17 APRIL 2027 
TERBAYAR LUNAS 1 TAHUN 
Nomor Polisi B 2942 SMF / GENAP
B Dari DKI JAKARTA
.
SPESIFIKASI EXTERIOR :
* Grill Chrome
* Headlamp Projector + DRL ( Day Running Light )
* LED Stop lamps
* LED Running Sign
* Double sunroof
* Rear Cross Traffic Alert (blindspot)
* Velg Alloy R18 Inch
* Tires by Toyo Tranpath
* Foglamp with list chrome
* Sensor parking
* Spoiler
.
SPESIFIKASI INTERIOR & FITUR : 
* White on Beige 
* Black Dashboard With list silver 
* Leather Wheel with wood panel
* Steering Audio Control
* Digital Clock
* Pilot seats
* Leather Seats
* 2 TV monitor
* Camera Parking
* 4 camera 360° view
* Head Unit Touch Screen New Model Supp Hdmi, Ipod, Aux, USB, Radio, BT Phone
* Power Back Door
* Key less n engine start button
* i-stop
* Eco mode
* Automatic Hand brake 
* 4 electric seats
* 4 heater seats
* 2 cooler seats
* 1 memory seat
* Krey 
.
etc, standart Toyota Alphard G ATPM 2018 Facelift
.
Outlet : 
Paskah Mobil Mangga Dua Square 
Jl. Gunung sahari raya no 1 
Mangga Dua Square 
Lantai LG Lot M15-16 
Jakarta Utara 
.
ingin melihat stock mobil kami yang lain. silahkan klik VIEW PROFILE di akhir DISKRIPSI ini.
Tolong di favoritkan dan di follow ya teman2...
.
Terima Tukar Tambah Dan Berani Beli Mobil Yang Berkwalitas Istimewa
*
Terima Titip Jual beli Mobil. dengan surat surat Lengkap
.
SALAM 
PASKAH MOBIL",Toyota,Lainnya,,Lainnya,55.000-60.000,515000000.0
