id_iklan,judul,deskripsi,merek,model,tahun,transmisi,jarak_tempuh,harga,deskripsi_bersih,judul_bersih
948152362,(KM7000)TOYOTA RUSH GR AT 2026 NIK 2025 FACELIFT ISTIMEWA KAYA BARU!!,"(KM7000)TOYOTA RUSH GR AT 2026 NIK 2025 FACELIFT ISTIMEWA KAYA BARU!! 


MOBIL KAMI DIJAMIN DENGAN :

- GARANSI TERTULIS BERMATERAI 100% UANG KEMBALI 

DIJAMIN MOBIL TIDAK BEKAS TABRAK DAN BANJIR

- KENDARAAN SUDAH LULUS PENGECEKAN OTOSPECTOR ADA

SERTIFIKAT HASIL PENGECEKANNYA

- MENJAMIN KEPUASAN CUSTOMER YANG MEMBELI MOBIL DISHOWROOM KAMI

- Tipe Rush GR AT

- NIK 2025

- Warna Hitam metalik

- KM 7000 An 

- Nopol Ganjil

- Pajak Maret 2027

Harga Kredit 220 Juta khusus paket kredit tenor panjang, syarat dan ketentuan berlaku. 

Untuk harga diluar paket/ cash silakan call/wa.

Kelengkapan Data yang diperlukan:

- Copy KTP Suami + Istri (Jika Sudah Menikah)

- Copy Kartu Keluarga

- Copy PBB dan NPWP

- Mutasi rekening 3 bulan terakhir

Dexi Auto, Pasar Mobil Kemayoran Blok T5-7 dan R10-12 pintu 3

Hari Minggu/hari libur nasional tetap buka.",Toyota,Rush,2025,otomatis,7500,220000000,km7000toyota rush gr otomatis 2026 nik 2025 facelift istimewa kaya baru mobil kami dijamin dengan garansi tertulis bermaterai 100 uang kembali dijamin mobil tidak bekas tabrak dan banjir kendaraan sudah lulus pengecekan otospector ada sertifikat hasil pengecekannya menjamin kepuasan customer yang membeli mobil dishowroom kami tipe rush gr otomatis nik 2025 warna hitam metalik kilometer 7000 an nopol ganjil pajak maret 2027 harga kredit 220 juta khusus paket kredit tenor panjang syarat dan ketentuan berlaku untuk harga diluar paket tunai silakan callwa kelengkapan data yang diperlukan copy ktp suami istri jika sudah menikah copy kartu keluarga copy pbb dan npwp mutasi rekening 3 bulan terakhir dexi auto pasar mobil kemayoran blok t57 dan r1012 pintu 3 hari mingguhari libur nasional tetap buka,km7000toyota rush gr otomatis 2026 nik 2025 facelift istimewa kaya baru
947784855,KM Rendah - Toyota Agya 1.0 G Bensin-AT 2014,"""KM Rendah - Toyota Agya 1.0 G Bensin-AT 2014
.
Harga Credit : Rp85,000,000
.
Mau Setting TDP dan Angsuran? Langsung Chat Saja.
.

.
- Nikmati Promo di OLXmobbi - Jual - Beli - Tukar Tambah
- 1000+ Pilihan Unit (Cari Unit Tertentu? Chat Saja)
- Beli mobil dan dapatkan bonus saldo digital hingga Rp1.500.000
- Dapatkan Promo Voucher Service
- Tambahan Asuransi TLO Untuk Pembelian Cash
*S&K berlaku
.
Spesifikasi Unit : 
1. Pajak Mar 2027
2. Odometer 113rb+ Km
3. Plat : Genap
4. Surat-surat Jaminan Asli dan Sesuai
5. Garansi 1 Tahun (S&K Berlaku)
.
Keunggulan Model :
• Best LCGC Car - Otomotif Awards (2015, 2016), Part mudah dan murah bengkel dimana-mana
• cocok buat kendaraan dalam kota dengan konsumsi BBM sd 15-16 KM/L
• Jaringan bengkel luas ada dimana-mana
• Nilai jual kembali tinggi dan stabil di pasar mobil bekas Indonesia, khususnya Jabodetabek
• Suku cadang original dan aftermarket mudah didapatkan di bengkel resmi maupun umum dengan harga terjangkau
• Cocok untuk berbagai kebutuhan: keluarga, komuter harian di Jakarta, perjalanan luar kota, atau adventure ringan
• Biaya operasional rendah dan sangat cocok untuk daily commute di Jakarta serta kota besar lainnya
.
Mengapa Anda harus membeli mobil di OLXmobbi?
- Gratis Garansi hingga 1 tahun
- Voucher Biaya Jasa Perawatan
- FREE HOME TEST DRIVE
*S&K Berlaku
.
Pembayaran Booking Fee / Pelunasan hanya melalui no rekening 2061/888/995 - BCA - an SERASI MITRA MOBIL PT
.
Kunjungi kami di
OLXmobbi Buaran
Jl. Radin Inten II No.1, RT.8/RW.14, Klender, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 1597953
.
Sandi - Sales Advisor
OLXmobbi Buaran
Ahlinya Mobil Bekas Kualitas""",Toyota,Agya,2014,otomatis,112500,85000000,kilometer rendah toyota agya 10 g bensinat 2014 harga credit rp85000000 mau setting tdp dan angsuran langsung chat saja nikmati promo di olxmobbi jual beli tukar tambah 1000 pilihan unit cari unit tertentu chat saja beli mobil dan dapatkan bonus saldo digital hingga rp1500000 dapatkan promo voucher service tambahan asuransi tlo untuk pembelian tunai sk berlaku spesifikasi unit 1 pajak mar 2027 2 odometer 113rb kilometer 3 plat nomor genap 4 suratsurat jaminan asli dan sesuai 5 garansi 1 tahun sk berlaku keunggulan model • best lcgc car otomotif awards 2015 2016 part mudah dan murah bengkel dimanamana • cocok buat kendaraan dalam kota dengan konsumsi bbm sd 1516 kml • jaringan bengkel luas ada dimanamana • nilai jual kembali tinggi dan stabil di pasar mobil bekas indonesia khususnya jabodetabek • suku cadang original dan aftermarket mudah didapatkan di bengkel resmi maupun umum dengan harga terjangkau • cocok untuk berbagai kebutuhan keluarga komuter harian di jakarta perjalanan luar kota atau adventure ringan • biaya operasional rendah dan sangat cocok untuk daily commute di jakarta serta kota besar lainnya mengapa anda harus membeli mobil di olxmobbi gratis garansi hingga 1 tahun voucher biaya jasa perawatan free home test drive sk berlaku pembayaran booking fee pelunasan hanya melalui no rekening 2061888995 bca an serasi mitra mobil pt kunjungi kami di olxmobbi buaran jl radin inten ii no1 rt8rw14 klender kec duren sawit kota jakarta timur daerah khusus ibukota jakarta 1597953 sandi sales advisor olxmobbi buaran ahlinya mobil bekas kualitas,kilometer rendah toyota agya 10 g bensinat 2014
946631959,#Hyundai Promise# 2024 Hyundai Santa Fe Signature Diesel,"2024 Hyundai Santa Fe 2.2 Signature SUV - Free Service Berkala & Voucher Solar*

""Hyundai Promise merupakan mobil bekas Hyundai yang bergaransi resmi dan bersertifikasi dari Agen Tunggal Pemegang Merek (ATPM) Hyundai Motors Indonesia"".

Seluruh mobil Hyundai Promise telah diinspeksi melalui 100 titik inspeksi dan direkondisi menggunakan suku cadang asli Hyundai (GENUINE PARTS) di bengkel resmi Hyundai.

Perpanjangan garansi pabrikan untuk Hyundai Promise meliputi berbagai komponen suku cadang layaknya seperti mobil baru, sesuai syarat dan ketentuan yang berlaku dari Hyundai Motors Indonesia, serta tersedia beragam fitur keamanan dan keunggulan product dari mobil Hyundai

Kelebihan Hyundai Promise:

1. Bersertifikasi resmi Hyundai Motors Indonesia

2. Perpanjangan garansi pabrikan selama 1 tahun*

3. Jaminan suku cadang Original

4. Layanan darurat 24 jam*

5. Riwayat servis berkala

6. Bebas tabrak berat dan banjir*

Detail kendaraan

• Tahun Produksi / NIK : 2024

• Model / Tipe : Hyundai Santa Fe 2.2 Signature Diesel

• Warna : Abu Metalik

• CC Mesin : 2,200 cc

• Transmisi : Otomatis (IVT)

Harga Kredit
Rp.435.000.000,-

* = mengikuti hitungan kredit dari kami, bilamana berbeda maka OTR akan berubah untuk disesuaikan kembali

TDP 143 jt
Angsuran 8.400.000 x 59
Angsuran 9.650.000 x 47

Harga Cash 
On Call


Lokasi: Hyundai Promise - Grand ITC Permata Hijau, lantai P3, Jakarta Selatan

Jam Operational :

09.00 s/d 19.00 ( Senin s/d Jumat)

09.00 s/d 18.00 (Sabtu & Minggu)

*=S&K Berlaku",Hyundai,Santa Fe,2024,manual,27500,435000000,2024 hyundai santa fe 22 signature suv free service berkala voucher diesel hyundai promise merupakan mobil bekas hyundai yang bergaransi resmi dan bersertifikasi dari agen tunggal pemegang merek atpm hyundai motors indonesia seluruh mobil hyundai promise telah diinspeksi melalui 100 titik inspeksi dan direkondisi menggunakan suku cadang asli hyundai genuine parts di bengkel resmi hyundai perpanjangan garansi pabrikan untuk hyundai promise meliputi berbagai komponen suku cadang layaknya seperti mobil baru sesuai syarat dan ketentuan yang berlaku dari hyundai motors indonesia serta tersedia beragam fitur keamanan dan keunggulan product dari mobil hyundai kelebihan hyundai promise 1 bersertifikasi resmi hyundai motors indonesia 2 perpanjangan garansi pabrikan selama 1 tahun 3 jaminan suku cadang original 4 layanan darurat 24 jam 5 riwayat servis berkala 6 bebas tabrak berat dan banjir detail kendaraan • tahun produksi nik 2024 • model tipe hyundai santa fe 22 signature diesel • warna abu metalik • kapasitas mesin mesin 2200 kapasitas mesin • transmisi otomatis ivt harga kredit rp435000000 mengikuti hitungan kredit dari kami bilamana berbeda maka otr akan berubah untuk disesuaikan kembali tdp 143 jt angsuran 8400000 x 59 angsuran 9650000 x 47 harga tunai hidup call lokasi hyundai promise grand itc permata hijau lantai p3 jakarta selatan jam operational 0900 sd 1900 senin sd jumat 0900 sd 1800 sabtu minggu sk berlaku,hyundai promise 2024 hyundai santa fe signature diesel
947784903,KM Rendah - Mitsubishi Xpander 1.5 Exceed Bensin-AT 2017,"""KM Rendah - Mitsubishi Xpander 1.5 Exceed Bensin-AT 2017
.
Harga Credit : Rp182,000,000
.
Mau Setting TDP dan Angsuran? Langsung Chat Saja.
.
FREE ASURANSI TLO UNTUK PEMBELIAN CASH
.
- Nikmati Promo di OLXmobbi - Jual - Beli - Tukar Tambah
- 1000+ Pilihan Unit (Cari Unit Tertentu? Chat Saja)
- Beli mobil dan dapatkan bonus saldo digital hingga Rp1.500.000
- Dapatkan Promo Voucher Service
- Tambahan Asuransi TLO Untuk Pembelian Cash
*S&K berlaku
.
Spesifikasi Unit : 
1. Pajak Mar 2026
2. Odometer 88rb+ Km
3. Plat : Genap
4. Surat-surat Jaminan Asli dan Sesuai
5. Garansi 1 Tahun (S&K Berlaku)
.
Keunggulan Model :
• Kendaraan cocok buat Keluarga Besar dan irit BBM sd 14-16 KM/L
• Indonesia Car of the Year (ICOTY) 2018
• Car of the Year 2018-2020
• Jaringan bengkel luas ada dimana-mana
• Nilai jual kembali tinggi dan stabil di pasar mobil bekas Indonesia, khususnya Jabodetabek
• Suku cadang original dan aftermarket mudah didapatkan di bengkel resmi maupun umum dengan harga terjangkau
• Cocok untuk berbagai kebutuhan: keluarga, komuter harian di Jakarta, perjalanan luar kota, atau adventure ringan
• Kabin lega dan fleksibel, sangat ideal untuk keluarga besar atau angkutan penumpang
.
Mengapa Anda harus membeli mobil di OLXmobbi?
- Gratis Garansi hingga 1 tahun
- Voucher Biaya Jasa Perawatan
- FREE HOME TEST DRIVE
*S&K Berlaku
.
Pembayaran Booking Fee / Pelunasan hanya melalui no rekening 2061/888/995 - BCA - an SERASI MITRA MOBIL PT
.
Kunjungi kami di
OLXmobbi Buaran
Jl. Radin Inten II No.1, RT.8/RW.14, Klender, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 1589344
.
Sandi - Sales Advisor
OLXmobbi Buaran
Ahlinya Mobil Bekas Kualitas""",Mitsubishi,Xpander,2017,otomatis,87500,182000000,kilometer rendah mitsubishi xpander 15 exceed bensinat 2017 harga credit rp182000000 mau setting tdp dan angsuran langsung chat saja free asuransi tlo untuk pembelian tunai nikmati promo di olxmobbi jual beli tukar tambah 1000 pilihan unit cari unit tertentu chat saja beli mobil dan dapatkan bonus saldo digital hingga rp1500000 dapatkan promo voucher service tambahan asuransi tlo untuk pembelian tunai sk berlaku spesifikasi unit 1 pajak mar 2026 2 odometer 88rb kilometer 3 plat nomor genap 4 suratsurat jaminan asli dan sesuai 5 garansi 1 tahun sk berlaku keunggulan model • kendaraan cocok buat keluarga besar dan irit bbm sd 1416 kml • indonesia car of the year icoty 2018 • car of the year 20182020 • jaringan bengkel luas ada dimanamana • nilai jual kembali tinggi dan stabil di pasar mobil bekas indonesia khususnya jabodetabek • suku cadang original dan aftermarket mudah didapatkan di bengkel resmi maupun umum dengan harga terjangkau • cocok untuk berbagai kebutuhan keluarga komuter harian di jakarta perjalanan luar kota atau adventure ringan • kabin lega dan fleksibel sangat ideal untuk keluarga besar atau angkutan penumpang mengapa anda harus membeli mobil di olxmobbi gratis garansi hingga 1 tahun voucher biaya jasa perawatan free home test drive sk berlaku pembayaran booking fee pelunasan hanya melalui no rekening 2061888995 bca an serasi mitra mobil pt kunjungi kami di olxmobbi buaran jl radin inten ii no1 rt8rw14 klender kec duren sawit kota jakarta timur daerah khusus ibukota jakarta 1589344 sandi sales advisor olxmobbi buaran ahlinya mobil bekas kualitas,kilometer rendah mitsubishi xpander 15 exceed bensinat 2017
947769364,DP10% [Km6.000] Voxy 2025 Black Reg 2026 #AUTOHIGH,"TOYOTA VOXY 2025 BLACK ON BLACK
Km.6.000 Antik!! , Stnk Bulan 09 ( NIK.2025 )
- Monitor Screen + Rear TV Entertaiment
- Apple Car Play + 4 Camera
- Speedometer HUD
- Captain Seat
- ⁠Optional Leather Seat
- Double Electric Sliding Doors
- TSS + Kick Sensor
- Bagasi Power Back Door
- Warranty ATPM Toyota

OTR KREDIT : 495JT

Harga Negosiasi Setelah Datang Lihat Unit di Showroom Kami

Pembelian via cash / kredit.. Data luar kota bisa bantu proses, Tersedia jg Paket Total DP Ringan, Tenor hingga 6 tahun ( Proses 1 hari kerja saja )

Segera Rekomendasikan Keluarga / Teman / Kerabat Bapak & Ibu semua untuk membeli Mobil di AUTOHIGH dan dapatkan harga & kualitas terbaik dengan cara Share Link Iklan ini, Terima Kasih !!!

///AUTO HIGH BINTARO
** Bursa Mobil Bintaro A1 - A3
Bintaro Sektor 7, Tangerang Selatan
( Exit Tol Pondok Aren, samping Bank Permata Tower dan Dealer BMW Bestindo )

[[ GUNAKAN SELALU FITUR TELEPON & WHATS APP UNTUK KEAMANAN BERKOMUNIKASI, TERIMA KASIH ]]

Buka Setiap Hari : Pukul 9 Pagi s/d 6 Sore
( Sabtu / Minggu / Hari Libur Tetap Buka )

More Info, Please Call / SMS / Whats App : Pukul 8 Pagi s/d 11 Malam ( Setiap Hari )",Toyota,Voxy,2026,manual,2500,495000000,toyota voxy 2025 black hidup black km6000 antik stnk bulan 09 nik2025 monitor screen rear tv entertaiment apple car play 4 camera speedometer hud captain seat ⁠optional leather seat double electric sliding doors tss kick sensor bagasi power back door warranty atpm toyota otr kredit 495jt harga negosiasi setelah datang lihat unit di showroom kami pembelian via tunai kredit data luar kota bisa bantu proses tersedia jg paket total uang muka ringan tenor hingga 6 tahun proses 1 hari kerja saja segera rekomendasikan keluarga teman kerabat bapak ibu semua untuk membeli mobil di autohigh dan dapatkan harga kualitas terbaik dengan cara share link iklan ini terima kasih auto high bintaro bursa mobil bintaro a1 a3 bintaro sektor 7 tangerang selatan exit tol pondok aren samping bank permata tower dan dealer bmw bestindo gunakan selalu fitur telepon whats app untuk keamanan berkomunikasi terima kasih buka setiap hari pukul 9 pagi sd 6 sore sabtu minggu hari libur tetap buka more info please call sms whats app pukul 8 pagi sd 11 malam setiap hari,dp10 km6000 voxy 2025 black reg 2026 autohigh
948199417,[Km 11RB] Toyota Land Cruiser 300 GR 2023 LC 2024 Putih,"Toyota Land Cruiser 300 GR 4x4 AT 2023

- Km 11.000 Antik
- Warna Putih
- Nopol B Genap
- Pajak 10-2026
- Body Full Original
- Atas Nama Perorangan
- Nik 2023

OTR Kredit 2.050 Milyar
Cash 2.160 Milyar nego",Toyota,Land Cruiser,2024,otomatis,12500,2050000000,toyota land cruiser 300 gr 4x4 otomatis 2023 kilometer 11000 antik warna putih nopol b genap pajak 102026 body full original atas nama perorangan nik 2023 otr kredit 2050 milyar tunai 2160 milyar negosiasi,kilometer 11rb toyota land cruiser 300 gr 2023 lc 2024 putih
947785189,KM Rendah - Honda CRV 2.4 RM3 Bensin-AT 2014,"""KM Rendah - Honda CRV 2.4 RM3 Bensin-AT 2014
.
Harga Credit : Rp147,000,000
.
Mau Setting TDP dan Angsuran? Langsung Chat Saja.
.

.
- Nikmati Promo di OLXmobbi - Jual - Beli - Tukar Tambah
- 1000+ Pilihan Unit (Cari Unit Tertentu? Chat Saja)
- Beli mobil dan dapatkan bonus saldo digital hingga Rp1.500.000
- Dapatkan Promo Voucher Service
- Tambahan Asuransi TLO Untuk Pembelian Cash
*S&K berlaku
.
Spesifikasi Unit : 
1. Pajak Des 2026
2. Odometer 80rb+ Km
3. Plat : Ganjil
4. Surat-surat Jaminan Asli dan Sesuai
5. Garansi 1 Tahun (S&K Berlaku)
.
Keunggulan Model :
• Best Family Car SUV – Car of the Year Awards 2019, Best Midsize SUV – OTOMOTIF Award 2020
• Real SUV cocok buat anda Eksekutif Muda !
• Jaringan bengkel luas ada dimana-mana
• Nilai jual kembali tinggi dan stabil di pasar mobil bekas Indonesia, khususnya Jabodetabek
• Suku cadang original dan aftermarket mudah didapatkan di bengkel resmi maupun umum dengan harga terjangkau
• Cocok untuk berbagai kebutuhan: keluarga, komuter harian di Jakarta, perjalanan luar kota, atau adventure ringan
• Ground clearance tinggi dan tangguh menghadapi jalanan Indonesia yang beragam
• Nilai prestise tinggi dan cocok untuk image eksekutif atau profesional
.
Mengapa Anda harus membeli mobil di OLXmobbi?
- Gratis Garansi hingga 1 tahun
- Voucher Biaya Jasa Perawatan
- FREE HOME TEST DRIVE
*S&K Berlaku
.
Pembayaran Booking Fee / Pelunasan hanya melalui no rekening 2061/888/995 - BCA - an SERASI MITRA MOBIL PT
.
Kunjungi kami di
OLXmobbi Buaran
Jl. Radin Inten II No.1, RT.8/RW.14, Klender, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 1583679
.
Sandi - Sales Advisor
OLXmobbi Buaran
Ahlinya Mobil Bekas Kualitas""",Honda,Crv,2014,otomatis,82500,147000000,kilometer rendah honda crv 24 rm3 bensinat 2014 harga credit rp147000000 mau setting tdp dan angsuran langsung chat saja nikmati promo di olxmobbi jual beli tukar tambah 1000 pilihan unit cari unit tertentu chat saja beli mobil dan dapatkan bonus saldo digital hingga rp1500000 dapatkan promo voucher service tambahan asuransi tlo untuk pembelian tunai sk berlaku spesifikasi unit 1 pajak des 2026 2 odometer 80rb kilometer 3 plat nomor ganjil 4 suratsurat jaminan asli dan sesuai 5 garansi 1 tahun sk berlaku keunggulan model • best family car suv – car of the year awards 2019 best midsize suv – otomotif award 2020 • real suv cocok buat anda eksekutif muda • jaringan bengkel luas ada dimanamana • nilai jual kembali tinggi dan stabil di pasar mobil bekas indonesia khususnya jabodetabek • suku cadang original dan aftermarket mudah didapatkan di bengkel resmi maupun umum dengan harga terjangkau • cocok untuk berbagai kebutuhan keluarga komuter harian di jakarta perjalanan luar kota atau adventure ringan • ground clearance tinggi dan tangguh menghadapi jalanan indonesia yang beragam • nilai prestise tinggi dan cocok untuk image eksekutif atau profesional mengapa anda harus membeli mobil di olxmobbi gratis garansi hingga 1 tahun voucher biaya jasa perawatan free home test drive sk berlaku pembayaran booking fee pelunasan hanya melalui no rekening 2061888995 bca an serasi mitra mobil pt kunjungi kami di olxmobbi buaran jl radin inten ii no1 rt8rw14 klender kec duren sawit kota jakarta timur daerah khusus ibukota jakarta 1583679 sandi sales advisor olxmobbi buaran ahlinya mobil bekas kualitas,kilometer rendah honda crv 24 rm3 bensinat 2014
945341372,DP10% [Km28.000] E300 Avantgarde 2016 White / AMG Reg 2017 #AUTOHIGH,"MERCEDES BENZ E300 AVANTGARDE 2016/2017 NEW MODEL WHITE ON BLACK
Km.28.000 Antik!!! , Stnk Bulan 02 Register 2017 ( NIK 2016 )
- Monitor TV + 4 Camera
- Speedometer Digital Model Terbaru 
- Panoramic + Sunroof
- Electric Seat + Memory Seat di Pintu
- Keyless + Engine Start Botton
- Full List Chrome Body Avantgarde
- Audio Burnsmester
- Bagasi Power Back Doors
- Service Record ATPM Mercedes Benz

OTR KREDIT : 425JT 
OTR CASH : 475JT 

Harga Negosiasi Setelah Datang Lihat Unit di Showroom Kami

Pembelian via cash / kredit.. Data luar kota bisa bantu proses, Tersedia jg Paket Total DP Ringan, Tenor hingga 6 tahun ( Proses 1 hari kerja saja )

Segera Rekomendasikan Keluarga / Teman / Kerabat Bapak & Ibu semua untuk membeli Mobil di AUTOHIGH dan dapatkan harga & kualitas terbaik dengan cara Share Link Iklan ini, Terima Kasih !!!

///AUTO HIGH BINTARO
** Bursa Mobil Bintaro A1 - A3
Bintaro Sektor 7, Tangerang Selatan
( Exit Tol Pondok Aren, samping Bank Permata Tower dan Dealer BMW Bestindo )

[[ GUNAKAN SELALU FITUR TELEPON & WHATS APP UNTUK KEAMANAN BERKOMUNIKASI, TERIMA KASIH ]]

Buka Setiap Hari : Pukul 9 Pagi s/d 6 Sore
( Sabtu / Minggu / Hari Libur Tetap Buka )

More Info, Please Call / SMS / Whats App : Pukul 8 Pagi s/d 11 Malam ( Setiap Hari )",Mercedes-Benz,E300,2017,manual,17500,425000000,mercedes benz e300 avantgarde 20162017 new model white hidup black km28000 antik stnk bulan 02 register 2017 nik 2016 monitor tv 4 camera speedometer digital model terbaru panoramic sunroof electric seat memory seat di pintu keyless engine start botton full list chrome body avantgarde audio burnsmester bagasi power back doors service record atpm mercedes benz otr kredit 425jt otr tunai 475jt harga negosiasi setelah datang lihat unit di showroom kami pembelian via tunai kredit data luar kota bisa bantu proses tersedia jg paket total uang muka ringan tenor hingga 6 tahun proses 1 hari kerja saja segera rekomendasikan keluarga teman kerabat bapak ibu semua untuk membeli mobil di autohigh dan dapatkan harga kualitas terbaik dengan cara share link iklan ini terima kasih auto high bintaro bursa mobil bintaro a1 a3 bintaro sektor 7 tangerang selatan exit tol pondok aren samping bank permata tower dan dealer bmw bestindo gunakan selalu fitur telepon whats app untuk keamanan berkomunikasi terima kasih buka setiap hari pukul 9 pagi sd 6 sore sabtu minggu hari libur tetap buka more info please call sms whats app pukul 8 pagi sd 11 malam setiap hari,dp10 km28000 e300 avantgarde 2016 white amg reg 2017 autohigh
947785288,Nissan XTrail 2.5 Bensin-AT 2016,"""Nissan XTrail 2.5 Bensin-AT 2016
.
Harga Credit : Rp140,000,000
.
Mau Setting TDP dan Angsuran? Langsung Chat Saja.
.

.
- Nikmati Promo di OLXmobbi - Jual - Beli - Tukar Tambah
- 1000+ Pilihan Unit (Cari Unit Tertentu? Chat Saja)
- Beli mobil dan dapatkan bonus saldo digital hingga Rp1.500.000
- Dapatkan Promo Voucher Service
- Tambahan Asuransi TLO Untuk Pembelian Cash
*S&K berlaku
.
Spesifikasi Unit : 
1. Pajak Des 2025
2. Odometer 123rb+ Km
3. Plat : Ganjil
4. Surat-surat Jaminan Asli dan Sesuai
5. Garansi 1 Tahun (S&K Berlaku)
.
Keunggulan Model :
• Cocok buat anda eksekutif muda, Mobil gagah dengan ketinggian 2.2M dilengkapi fitur kamera 360
• Praktis untuk membuka pintu belakang tanpa menekan remote (membuka dengan hentakan kaki)
• Sudah dibalut jok kulit Asli 3 Row dengan konsep Teather (mobil paling laris di jepang)
• Jaringan bengkel luas ada dimana-mana
• Nilai jual kembali tinggi dan stabil di pasar mobil bekas Indonesia, khususnya Jabodetabek
• Suku cadang original dan aftermarket mudah didapatkan di bengkel resmi maupun umum dengan harga terjangkau
• Cocok untuk berbagai kebutuhan: keluarga, komuter harian di Jakarta, perjalanan luar kota, atau adventure ringan
• Ground clearance tinggi dan tangguh menghadapi jalanan Indonesia yang beragam
.
Mengapa Anda harus membeli mobil di OLXmobbi?
- Gratis Garansi hingga 1 tahun
- Voucher Biaya Jasa Perawatan
- FREE HOME TEST DRIVE
*S&K Berlaku
.
Pembayaran Booking Fee / Pelunasan hanya melalui no rekening 2061/888/995 - BCA - an SERASI MITRA MOBIL PT
.
Kunjungi kami di
OLXmobbi Buaran
Jl. Radin Inten II No.1, RT.8/RW.14, Klender, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 1602680
.
Sandi - Sales Advisor
OLXmobbi Buaran
Ahlinya Mobil Bekas Kualitas""",Nissan,Xtrail,2016,otomatis,122500,140000000,nissan xtrail 25 bensinat 2016 harga credit rp140000000 mau setting tdp dan angsuran langsung chat saja nikmati promo di olxmobbi jual beli tukar tambah 1000 pilihan unit cari unit tertentu chat saja beli mobil dan dapatkan bonus saldo digital hingga rp1500000 dapatkan promo voucher service tambahan asuransi tlo untuk pembelian tunai sk berlaku spesifikasi unit 1 pajak des 2025 2 odometer 123rb kilometer 3 plat nomor ganjil 4 suratsurat jaminan asli dan sesuai 5 garansi 1 tahun sk berlaku keunggulan model • cocok buat anda eksekutif muda mobil gagah dengan ketinggian 22m dilengkapi fitur kamera 360 • praktis untuk membuka pintu belakang tanpa menekan remote membuka dengan hentakan suspensi • sudah dibalut jok kulit asli 3 row dengan konsep teather mobil paling laris di jepang • jaringan bengkel luas ada dimanamana • nilai jual kembali tinggi dan stabil di pasar mobil bekas indonesia khususnya jabodetabek • suku cadang original dan aftermarket mudah didapatkan di bengkel resmi maupun umum dengan harga terjangkau • cocok untuk berbagai kebutuhan keluarga komuter harian di jakarta perjalanan luar kota atau adventure ringan • ground clearance tinggi dan tangguh menghadapi jalanan indonesia yang beragam mengapa anda harus membeli mobil di olxmobbi gratis garansi hingga 1 tahun voucher biaya jasa perawatan free home test drive sk berlaku pembayaran booking fee pelunasan hanya melalui no rekening 2061888995 bca an serasi mitra mobil pt kunjungi kami di olxmobbi buaran jl radin inten ii no1 rt8rw14 klender kec duren sawit kota jakarta timur daerah khusus ibukota jakarta 1602680 sandi sales advisor olxmobbi buaran ahlinya mobil bekas kualitas,nissan xtrail 25 bensinat 2016
947089654,Honda HR-V 2022 Bensin,"Honda
HR-V SE
Nik 2022
1.500cc Vtech Turbo
Panoramic glass
Km 49.xxx asli record
Automatic
Gray on black interior
Collision Mitigation Braking System
Lane Keeping Assist System
Road Departure Mitigation System (RDM)
Adaptive Cruise Control
Auto-High Beam
Lead Car Departure Notification System
Honda Lane Watch
Honda LaneWatchTM
4 Airbags
struktur rangka G-CON + ACET
Side Impact Beam
teknologi pengereman ABS + EBD + BA
Hill Start Assist
Hill Descent Control
Vehicle Stability Assist
Electric Parking Brake
Auto Brake Hold
Emergency Stop Signal
Mobil gress seperti baru
Pajak panjang
Siap pakai
Harga nego
Jual cepat!",Honda,Lainnya,2022,manual,47500,250000000,honda hrv se nik 2022 1500cc vtech turbo panoramic glass kilometer 49xxx asli record automatic gray hidup black interior collision mitigation braking system lane keeping assist system road departure mitigation system rdm adaptive cruise control autohigh beam lead car departure notification system honda lane watch honda lanewatchtm 4 airbags struktur rangka gcon acet side impact beam teknologi pengereman abs ebd ba hill start assist hill descent control vehicle stability assist electric parking brake auto brake hold emergency stop signal mobil gress seperti baru pajak panjang siap pakai harga negosiasi jual cepat,honda hrv 2022 bensin
