id_iklan,judul,deskripsi,merek,model,tahun,transmisi,jarak_tempuh,harga
948152362,(KM7000)TOYOTA RUSH GR AT 2026 NIK 2025 FACELIFT ISTIMEWA KAYA BARU!!,"(KM7000)TOYOTA RUSH GR AT 2026 NIK 2025 FACELIFT ISTIMEWA KAYA BARU!! 


MOBIL KAMI DIJAMIN DENGAN :

- GARANSI TERTULIS BERMATERAI 100% UANG KEMBALI 

DIJAMIN MOBIL TIDAK BEKAS TABRAK DAN BANJIR

- KENDARAAN SUDAH LULUS PENGECEKAN OTOSPECTOR ADA

SERTIFIKAT HASIL PENGECEKANNYA

- MENJAMIN KEPUASAN CUSTOMER YANG MEMBELI MOBIL DISHOWROOM KAMI

- Tipe Rush GR AT

- NIK 2025

- Warna Hitam metalik

- KM 7000 An 

- Nopol Ganjil

- Pajak Maret 2027

Harga Kredit 220 Juta khusus paket kredit tenor panjang, syarat dan ketentuan berlaku. 

Untuk harga diluar paket/ cash silakan call/wa.

Kelengkapan Data yang diperlukan:

- Copy KTP Suami + Istri (Jika Sudah Menikah)

- Copy Kartu Keluarga

- Copy PBB dan NPWP

- Mutasi rekening 3 bulan terakhir

Dexi Auto, Pasar Mobil Kemayoran Blok T5-7 dan R10-12 pintu 3

Hari Minggu/hari libur nasional tetap buka.",Toyota,Lainnya,,Lainnya,5.000-10.000,220000000.0
947784855,KM Rendah - Toyota Agya 1.0 G Bensin-AT 2014,"""KM Rendah - Toyota Agya 1.0 G Bensin-AT 2014
.
Harga Credit : Rp85,000,000
.
Mau Setting TDP dan Angsuran? Langsung Chat Saja.
.

.
- Nikmati Promo di OLXmobbi - Jual - Beli - Tukar Tambah
- 1000+ Pilihan Unit (Cari Unit Tertentu? Chat Saja)
- Beli mobil dan dapatkan bonus saldo digital hingga Rp1.500.000
- Dapatkan Promo Voucher Service
- Tambahan Asuransi TLO Untuk Pembelian Cash
*S&K berlaku
.
Spesifikasi Unit : 
1. Pajak Mar 2027
2. Odometer 113rb+ Km
3. Plat : Genap
4. Surat-surat Jaminan Asli dan Sesuai
5. Garansi 1 Tahun (S&K Berlaku)
.
Keunggulan Model :
• Best LCGC Car - Otomotif Awards (2015, 2016), Part mudah dan murah bengkel dimana-mana
• cocok buat kendaraan dalam kota dengan konsumsi BBM sd 15-16 KM/L
• Jaringan bengkel luas ada dimana-mana
• Nilai jual kembali tinggi dan stabil di pasar mobil bekas Indonesia, khususnya Jabodetabek
• Suku cadang original dan aftermarket mudah didapatkan di bengkel resmi maupun umum dengan harga terjangkau
• Cocok untuk berbagai kebutuhan: keluarga, komuter harian di Jakarta, perjalanan luar kota, atau adventure ringan
• Biaya operasional rendah dan sangat cocok untuk daily commute di Jakarta serta kota besar lainnya
.
Mengapa Anda harus membeli mobil di OLXmobbi?
- Gratis Garansi hingga 1 tahun
- Voucher Biaya Jasa Perawatan
- FREE HOME TEST DRIVE
*S&K Berlaku
.
Pembayaran Booking Fee / Pelunasan hanya melalui no rekening 2061/888/995 - BCA - an SERASI MITRA MOBIL PT
.
Kunjungi kami di
OLXmobbi Buaran
Jl. Radin Inten II No.1, RT.8/RW.14, Klender, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 1597953
.
Sandi - Sales Advisor
OLXmobbi Buaran
Ahlinya Mobil Bekas Kualitas""",Toyota,Lainnya,,Lainnya,110.000-115.000,85000000.0
946631959,#Hyundai Promise# 2024 Hyundai Santa Fe Signature Diesel,"2024 Hyundai Santa Fe 2.2 Signature SUV - Free Service Berkala & Voucher Solar*

""Hyundai Promise merupakan mobil bekas Hyundai yang bergaransi resmi dan bersertifikasi dari Agen Tunggal Pemegang Merek (ATPM) Hyundai Motors Indonesia"".

Seluruh mobil Hyundai Promise telah diinspeksi melalui 100 titik inspeksi dan direkondisi menggunakan suku cadang asli Hyundai (GENUINE PARTS) di bengkel resmi Hyundai.

Perpanjangan garansi pabrikan untuk Hyundai Promise meliputi berbagai komponen suku cadang layaknya seperti mobil baru, sesuai syarat dan ketentuan yang berlaku dari Hyundai Motors Indonesia, serta tersedia beragam fitur keamanan dan keunggulan product dari mobil Hyundai

Kelebihan Hyundai Promise:

1. Bersertifikasi resmi Hyundai Motors Indonesia

2. Perpanjangan garansi pabrikan selama 1 tahun*

3. Jaminan suku cadang Original

4. Layanan darurat 24 jam*

5. Riwayat servis berkala

6. Bebas tabrak berat dan banjir*

Detail kendaraan

• Tahun Produksi / NIK : 2024

• Model / Tipe : Hyundai Santa Fe 2.2 Signature Diesel

• Warna : Abu Metalik

• CC Mesin : 2,200 cc

• Transmisi : Otomatis (IVT)

Harga Kredit
Rp.435.000.000,-

* = mengikuti hitungan kredit dari kami, bilamana berbeda maka OTR akan berubah untuk disesuaikan kembali

TDP 143 jt
Angsuran 8.400.000 x 59
Angsuran 9.650.000 x 47

Harga Cash 
On Call


Lokasi: Hyundai Promise - Grand ITC Permata Hijau, lantai P3, Jakarta Selatan

Jam Operational :

09.00 s/d 19.00 ( Senin s/d Jumat)

09.00 s/d 18.00 (Sabtu & Minggu)

*=S&K Berlaku",Hyundai,Lainnya,,Lainnya,25.000-30.000,435000000.0
947784903,KM Rendah - Mitsubishi Xpander 1.5 Exceed Bensin-AT 2017,"""KM Rendah - Mitsubishi Xpander 1.5 Exceed Bensin-AT 2017
.
Harga Credit : Rp182,000,000
.
Mau Setting TDP dan Angsuran? Langsung Chat Saja.
.
FREE ASURANSI TLO UNTUK PEMBELIAN CASH
.
- Nikmati Promo di OLXmobbi - Jual - Beli - Tukar Tambah
- 1000+ Pilihan Unit (Cari Unit Tertentu? Chat Saja)
- Beli mobil dan dapatkan bonus saldo digital hingga Rp1.500.000
- Dapatkan Promo Voucher Service
- Tambahan Asuransi TLO Untuk Pembelian Cash
*S&K berlaku
.
Spesifikasi Unit : 
1. Pajak Mar 2026
2. Odometer 88rb+ Km
3. Plat : Genap
4. Surat-surat Jaminan Asli dan Sesuai
5. Garansi 1 Tahun (S&K Berlaku)
.
Keunggulan Model :
• Kendaraan cocok buat Keluarga Besar dan irit BBM sd 14-16 KM/L
• Indonesia Car of the Year (ICOTY) 2018
• Car of the Year 2018-2020
• Jaringan bengkel luas ada dimana-mana
• Nilai jual kembali tinggi dan stabil di pasar mobil bekas Indonesia, khususnya Jabodetabek
• Suku cadang original dan aftermarket mudah didapatkan di bengkel resmi maupun umum dengan harga terjangkau
• Cocok untuk berbagai kebutuhan: keluarga, komuter harian di Jakarta, perjalanan luar kota, atau adventure ringan
• Kabin lega dan fleksibel, sangat ideal untuk keluarga besar atau angkutan penumpang
.
Mengapa Anda harus membeli mobil di OLXmobbi?
- Gratis Garansi hingga 1 tahun
- Voucher Biaya Jasa Perawatan
- FREE HOME TEST DRIVE
*S&K Berlaku
.
Pembayaran Booking Fee / Pelunasan hanya melalui no rekening 2061/888/995 - BCA - an SERASI MITRA MOBIL PT
.
Kunjungi kami di
OLXmobbi Buaran
Jl. Radin Inten II No.1, RT.8/RW.14, Klender, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 1589344
.
Sandi - Sales Advisor
OLXmobbi Buaran
Ahlinya Mobil Bekas Kualitas""",Mitsubishi,Lainnya,,Lainnya,85.000-90.000,182000000.0
947769364,DP10% [Km6.000] Voxy 2025 Black Reg 2026 #AUTOHIGH,"TOYOTA VOXY 2025 BLACK ON BLACK
Km.6.000 Antik!! , Stnk Bulan 09 ( NIK.2025 )
- Monitor Screen + Rear TV Entertaiment
- Apple Car Play + 4 Camera
- Speedometer HUD
- Captain Seat
- ⁠Optional Leather Seat
- Double Electric Sliding Doors
- TSS + Kick Sensor
- Bagasi Power Back Door
- Warranty ATPM Toyota

OTR KREDIT : 495JT

Harga Negosiasi Setelah Datang Lihat Unit di Showroom Kami

Pembelian via cash / kredit.. Data luar kota bisa bantu proses, Tersedia jg Paket Total DP Ringan, Tenor hingga 6 tahun ( Proses 1 hari kerja saja )

Segera Rekomendasikan Keluarga / Teman / Kerabat Bapak & Ibu semua untuk membeli Mobil di AUTOHIGH dan dapatkan harga & kualitas terbaik dengan cara Share Link Iklan ini, Terima Kasih !!!

///AUTO HIGH BINTARO
** Bursa Mobil Bintaro A1 - A3
Bintaro Sektor 7, Tangerang Selatan
( Exit Tol Pondok Aren, samping Bank Permata Tower dan Dealer BMW Bestindo )

[[ GUNAKAN SELALU FITUR TELEPON & WHATS APP UNTUK KEAMANAN BERKOMUNIKASI, TERIMA KASIH ]]

Buka Setiap Hari : Pukul 9 Pagi s/d 6 Sore
( Sabtu / Minggu / Hari Libur Tetap Buka )

More Info, Please Call / SMS / Whats App : Pukul 8 Pagi s/d 11 Malam ( Setiap Hari )",Toyota,Lainnya,,Lainnya,0-5.000,495000000.0
948199417,[Km 11RB] Toyota Land Cruiser 300 GR 2023 LC 2024 Putih,"Toyota Land Cruiser 300 GR 4x4 AT 2023

- Km 11.000 Antik
- Warna Putih
- Nopol B Genap
- Pajak 10-2026
- Body Full Original
- Atas Nama Perorangan
- Nik 2023

OTR Kredit 2.050 Milyar
Cash 2.160 Milyar nego",Toyota,Lainnya,,Lainnya,10.000-15.000,2050000000.0
947785189,KM Rendah - Honda CRV 2.4 RM3 Bensin-AT 2014,"""KM Rendah - Honda CRV 2.4 RM3 Bensin-AT 2014
.
Harga Credit : Rp147,000,000
.
Mau Setting TDP dan Angsuran? Langsung Chat Saja.
.

.
- Nikmati Promo di OLXmobbi - Jual - Beli - Tukar Tambah
- 1000+ Pilihan Unit (Cari Unit Tertentu? Chat Saja)
- Beli mobil dan dapatkan bonus saldo digital hingga Rp1.500.000
- Dapatkan Promo Voucher Service
- Tambahan Asuransi TLO Untuk Pembelian Cash
*S&K berlaku
.
Spesifikasi Unit : 
1. Pajak Des 2026
2. Odometer 80rb+ Km
3. Plat : Ganjil
4. Surat-surat Jaminan Asli dan Sesuai
5. Garansi 1 Tahun (S&K Berlaku)
.
Keunggulan Model :
• Best Family Car SUV – Car of the Year Awards 2019, Best Midsize SUV – OTOMOTIF Award 2020
• Real SUV cocok buat anda Eksekutif Muda !
• Jaringan bengkel luas ada dimana-mana
• Nilai jual kembali tinggi dan stabil di pasar mobil bekas Indonesia, khususnya Jabodetabek
• Suku cadang original dan aftermarket mudah didapatkan di bengkel resmi maupun umum dengan harga terjangkau
• Cocok untuk berbagai kebutuhan: keluarga, komuter harian di Jakarta, perjalanan luar kota, atau adventure ringan
• Ground clearance tinggi dan tangguh menghadapi jalanan Indonesia yang beragam
• Nilai prestise tinggi dan cocok untuk image eksekutif atau profesional
.
Mengapa Anda harus membeli mobil di OLXmobbi?
- Gratis Garansi hingga 1 tahun
- Voucher Biaya Jasa Perawatan
- FREE HOME TEST DRIVE
*S&K Berlaku
.
Pembayaran Booking Fee / Pelunasan hanya melalui no rekening 2061/888/995 - BCA - an SERASI MITRA MOBIL PT
.
Kunjungi kami di
OLXmobbi Buaran
Jl. Radin Inten II No.1, RT.8/RW.14, Klender, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 1583679
.
Sandi - Sales Advisor
OLXmobbi Buaran
Ahlinya Mobil Bekas Kualitas""",Honda,Lainnya,,Lainnya,80.000-85.000,147000000.0
945341372,DP10% [Km28.000] E300 Avantgarde 2016 White / AMG Reg 2017 #AUTOHIGH,"MERCEDES BENZ E300 AVANTGARDE 2016/2017 NEW MODEL WHITE ON BLACK
Km.28.000 Antik!!! , Stnk Bulan 02 Register 2017 ( NIK 2016 )
- Monitor TV + 4 Camera
- Speedometer Digital Model Terbaru 
- Panoramic + Sunroof
- Electric Seat + Memory Seat di Pintu
- Keyless + Engine Start Botton
- Full List Chrome Body Avantgarde
- Audio Burnsmester
- Bagasi Power Back Doors
- Service Record ATPM Mercedes Benz

OTR KREDIT : 425JT 
OTR CASH : 475JT 

Harga Negosiasi Setelah Datang Lihat Unit di Showroom Kami

Pembelian via cash / kredit.. Data luar kota bisa bantu proses, Tersedia jg Paket Total DP Ringan, Tenor hingga 6 tahun ( Proses 1 hari kerja saja )

Segera Rekomendasikan Keluarga / Teman / Kerabat Bapak & Ibu semua untuk membeli Mobil di AUTOHIGH dan dapatkan harga & kualitas terbaik dengan cara Share Link Iklan ini, Terima Kasih !!!

///AUTO HIGH BINTARO
** Bursa Mobil Bintaro A1 - A3
Bintaro Sektor 7, Tangerang Selatan
( Exit Tol Pondok Aren, samping Bank Permata Tower dan Dealer BMW Bestindo )

[[ GUNAKAN SELALU FITUR TELEPON & WHATS APP UNTUK KEAMANAN BERKOMUNIKASI, TERIMA KASIH ]]

Buka Setiap Hari : Pukul 9 Pagi s/d 6 Sore
( Sabtu / Minggu / Hari Libur Tetap Buka )

More Info, Please Call / SMS / Whats App : Pukul 8 Pagi s/d 11 Malam ( Setiap Hari )",Mercedes-Benz,Lainnya,,Lainnya,15.000-20.000,425000000.0
947785288,Nissan XTrail 2.5 Bensin-AT 2016,"""Nissan XTrail 2.5 Bensin-AT 2016
.
Harga Credit : Rp140,000,000
.
Mau Setting TDP dan Angsuran? Langsung Chat Saja.
.

.
- Nikmati Promo di OLXmobbi - Jual - Beli - Tukar Tambah
- 1000+ Pilihan Unit (Cari Unit Tertentu? Chat Saja)
- Beli mobil dan dapatkan bonus saldo digital hingga Rp1.500.000
- Dapatkan Promo Voucher Service
- Tambahan Asuransi TLO Untuk Pembelian Cash
*S&K berlaku
.
Spesifikasi Unit : 
1. Pajak Des 2025
2. Odometer 123rb+ Km
3. Plat : Ganjil
4. Surat-surat Jaminan Asli dan Sesuai
5. Garansi 1 Tahun (S&K Berlaku)
.
Keunggulan Model :
• Cocok buat anda eksekutif muda, Mobil gagah dengan ketinggian 2.2M dilengkapi fitur kamera 360
• Praktis untuk membuka pintu belakang tanpa menekan remote (membuka dengan hentakan kaki)
• Sudah dibalut jok kulit Asli 3 Row dengan konsep Teather (mobil paling laris di jepang)
• Jaringan bengkel luas ada dimana-mana
• Nilai jual kembali tinggi dan stabil di pasar mobil bekas Indonesia, khususnya Jabodetabek
• Suku cadang original dan aftermarket mudah didapatkan di bengkel resmi maupun umum dengan harga terjangkau
• Cocok untuk berbagai kebutuhan: keluarga, komuter harian di Jakarta, perjalanan luar kota, atau adventure ringan
• Ground clearance tinggi dan tangguh menghadapi jalanan Indonesia yang beragam
.
Mengapa Anda harus membeli mobil di OLXmobbi?
- Gratis Garansi hingga 1 tahun
- Voucher Biaya Jasa Perawatan
- FREE HOME TEST DRIVE
*S&K Berlaku
.
Pembayaran Booking Fee / Pelunasan hanya melalui no rekening 2061/888/995 - BCA - an SERASI MITRA MOBIL PT
.
Kunjungi kami di
OLXmobbi Buaran
Jl. Radin Inten II No.1, RT.8/RW.14, Klender, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 1602680
.
Sandi - Sales Advisor
OLXmobbi Buaran
Ahlinya Mobil Bekas Kualitas""",Nissan,Lainnya,,Lainnya,120.000-125.000,140000000.0
947089654,Honda HR-V 2022 Bensin,"Honda
HR-V SE
Nik 2022
1.500cc Vtech Turbo
Panoramic glass
Km 49.xxx asli record
Automatic
Gray on black interior
Collision Mitigation Braking System
Lane Keeping Assist System
Road Departure Mitigation System (RDM)
Adaptive Cruise Control
Auto-High Beam
Lead Car Departure Notification System
Honda Lane Watch
Honda LaneWatchTM
4 Airbags
struktur rangka G-CON + ACET
Side Impact Beam
teknologi pengereman ABS + EBD + BA
Hill Start Assist
Hill Descent Control
Vehicle Stability Assist
Electric Parking Brake
Auto Brake Hold
Emergency Stop Signal
Mobil gress seperti baru
Pajak panjang
Siap pakai
Harga nego
Jual cepat!",Honda,Lainnya,,Lainnya,45.000-50.000,250000000.0
