merek,model,tahun,transmisi,jarak_tempuh,harga,judul
Suzuki,Lainnya,2024,manual,42500,254000000,Suzuki alpha XL 7 hybrid 2024 top istimewa..
Mercedes-Benz,Gle,2023,manual,2500,1250000000,DP10% [Km7.000] GLE450 AMG 2022 Black / GLE 450 Reg 2023 #AUTOHIGH
Toyota,Fortuner,2025,manual,12500,610000000,Toyota Fortuner GR Legender tetadrive 4x4 2025 BAN BF GOODRICH
Bmw,Lainnya,2014,otomatis,77500,196000000,BMW 520D Diesel F10 Silver 2014 Tdp Murmer Ori Menarik Bu Antik Baru
Mitsubishi,Pajero,2015,otomatis,97500,270000000,Mitsubishi Pajero Sport 2.5 Dakar Solar-AT 2015 KTHL
Honda,Hrv,2023,manual,37500,380000000,HRV RS TURBO 2023
Audi,Lainnya,2012,manual,22500,169000000,Audi A4 B8.5 2.0 S-Line 2012 Facelift Silver Metalik
Nissan,Grand Livina,2010,manual,102500,69000000,Grand livina XV Ultimate 2010 metik
Toyota,Innova,2017,manual,132500,219000000,Toyota Kijang Innova 2.0 G Bensin MT 2017 Hitam (LD)
Toyota,Lainnya,2023,otomatis,12500,435000000,VOXY 2.0 AT 2023
Mercedes-Benz,Lainnya,1995,manual,117500,32000000,Mercedes-Benz E220 1995 Bensin
Toyota,Lainnya,2018,otomatis,12500,245000000,KM Rendah - Toyota CHR 1.8 Bensin-AT 2018
Toyota,Lainnya,2013,manual,27500,429000000,[SUPER Low Km!!!] Toyota 86 2.0 TRD Sportivo Style (ZN6) 2013
Bmw,330I,2024,otomatis,27500,899000000,BMW 330i 2024 Bensin
Byd,Lainnya,2024,manual,7500,499000000,BYD SEAL PERFORMANCE AWD TH 2024 COCMOS BLACK
Daihatsu,Luxio,2014,otomatis,127500,127000000,Jual cepat Daihatsu Luxio X 2014 Matic Silver
Toyota,Sienta,2017,otomatis,72500,143000000,Toyota Sienta G CVT Matic 2017 ISTIMEWA DP Minim Kredit Murah
Nissan,Grand Livina,2013,otomatis,97500,75000000,Jual cepat Grand Livina XV automatic 2013
Daihatsu,Xenia,2015,manual,92500,108500000,New Xenia 1.3 X 2015
Toyota,Land Cruiser,2025,manual,17500,2250000000,toyota land cruiser vxr 300 vxr300 2025 km16rb tgn1!a.n pribadi!ppf!
Mitsubishi,Xpander,2022,otomatis,57500,218000000,XPANDER SPORT 1.5 2022 A/T
Toyota,Sienta,2016,manual,72500,140000000,Toyota Sienta 1.5 V Bensin-MT-2016 KTDQ
Mitsubishi,Triton,2008,manual,197500,140000000,Mitsubishi Triton 2008 Diesel
Mazda,Lainnya,2023,otomatis,67500,410000000,( DP 40JT ) CX5 KURO EDITION 2.5 AT 2023
Honda,Brio,2016,manual,62500,112000000,BRIO E SATYA 2016
